source_id,edge_id,edge_kind,length_km,peak_inflow_kw,geometry_json,original_road_segments,building_id
H1,road::00151,road,0.05365655164570679,27.259729824957933,"[[10.2132017,50.0476039],[10.2135671,50.0475854],[10.2137792,50.0475746],[10.2138604,50.0475705],[10.2139493,50.047566]]",4,
H1,road::00192,road,0.11572422420460211,55.626050059192565,"[[10.2139493,50.047566],[10.2141921,50.0475537],[10.2144625,50.04754],[10.2144855,50.0475388],[10.214992,50.0475131],[10.215175,50.0475038],[10.2152056,50.0477526]]",6,
H1,road::00263,road,0.020725828555231696,82.5951082061042,"[[10.2152056,50.0477526],[10.215215,50.0478292],[10.2152285,50.0479384]]",2,
H1,road::00264,road,0.01846822601653314,26.514625446560526,"[[10.2152056,50.0477526],[10.2154632,50.0477421]]",1,
H1,road::00268,road,0.06617721448871022,84.04614576269093,"[[10.2152285,50.0479384],[10.2154517,50.0479289],[10.2161514,50.0478992]]",2,
H1,road::00302,road,0.06434619101825015,56.94227637114551,"[[10.2159059,50.0458611],[10.215927,50.0459767],[10.2159703,50.0462146],[10.2160158,50.0464354]]",3,
H1,road::00303,road,0.05816617547280613,58.21700629835389,"[[10.2159059,50.0458611],[10.2160038,50.0458689],[10.2160728,50.0458646],[10.2165732,50.0458211],[10.2166154,50.0458174],[10.2167121,50.0458097]]",5,
H1,road::00307,road,0.020809122287446767,55.532145134473026,"[[10.2160158,50.0464354],[10.2163049,50.046415]]",1,
H1,road::00321,road,0.0321208918489278,84.75045572400869,"[[10.2161514,50.0478992],[10.2161661,50.0479948],[10.2161932,50.0481868]]",2,
H1,road::00325,road,0.07824329688666133,191.42165283028172,"[[10.2161932,50.0481868],[10.2162652,50.0488889]]",1,
H1,road::00328,road,0.0380504866101146,270.62661430721244,"[[10.2162652,50.0488889],[10.216797,50.04889]]",1,
H1,road::00332,road,0.0883690158311245,55.076131003502034,"[[10.2163049,50.046415],[10.2163645,50.0469195],[10.2163985,50.0472074]]",2,
H1,road::00335,road,0.005986882151973126,26.465510894048506,"[[10.2163985,50.0472074],[10.2164088,50.047236],[10.2164326,50.0472551]]",2,
H1,road::00340,road,0.09177283698443524,60.22831698020426,"[[10.2167121,50.0458097],[10.2167319,50.0459137],[10.2167568,50.0460448],[10.2170483,50.0460292],[10.216947,50.0457901],[10.2167121,50.0458097]]",5,
H1,road::00344,road,0.02579418008669429,297.2687105968243,"[[10.216797,50.04889],[10.2171575,50.0488913]]",1,
H1,road::00377,road,0.06334841624558181,298.66363378712936,"[[10.2171575,50.0488913],[10.2180428,50.048884]]",1,
H1,road::00430,road,0.043138136227102386,567.9651499332695,"[[10.2176904,50.0505803],[10.2176974,50.0505189],[10.21771,50.0504091],[10.2177236,50.0503583],[10.2177343,50.0502931],[10.2177491,50.0501944]]",5,
H1,road::00431,road,0.07152794859700828,567.0102031147154,"[[10.2176904,50.0505803],[10.2178058,50.0505882],[10.2180544,50.0506052],[10.2182736,50.0506201],[10.2186828,50.0506571]]",4,
H1,road::00440,road,0.09502913411463389,570.0688921660536,"[[10.2177491,50.0501944],[10.2179408,50.0501254],[10.2181927,50.0500341],[10.2184284,50.0499437],[10.218508,50.0499084],[10.2185672,50.0498553],[10.2185892,50.0498122],[10.2185944,50.0497706],[10.2185843,50.0496771],[10.2185802,50.0496349]]",9,
H1,road::00442,road,0.019626177601061248,78.6131128821976,"[[10.2177753,50.0496483],[10.2180496,50.0496485]]",1,
