source_id,edge_id,edge_kind,length_km,peak_inflow_kw,geometry_json,original_road_segments,building_id
H2,road::00031,road,0.2404608203313918,3076.463169046466,"[[10.1962881,50.026496],[10.1958354,50.0262897],[10.1956596,50.0262096],[10.1961994,50.0257391],[10.1968357,50.0260523],[10.1962881,50.026496]]",5,
H2,road::00032,road,0.07267647630795009,3070.877830190237,"[[10.1962881,50.026496],[10.1965221,50.0266021],[10.1966071,50.0266266],[10.1966943,50.0266399],[10.1967732,50.0266473],[10.1972398,50.0266596]]",5,
H2,road::00054,road,0.04901807374411721,221.7117702647773,"[[10.1968547,50.0250209],[10.1973514,50.0253245]]",1,
H2,road::00060,road,0.11242896585206508,3069.189903207728,"[[10.1972398,50.0266596],[10.1988095,50.0267057]]",1,
H2,road::00063,road,0.06852321306080021,443.9500885669328,"[[10.1973514,50.0253245],[10.1976591,50.0255265],[10.1979255,50.0256855],[10.1979866,50.0256554],[10.19804,50.025619]]",4,
H2,road::00071,road,0.033393470558227376,221.27121119800321,"[[10.1976799,50.0254023],[10.1977291,50.0253679],[10.1979002,50.0252485],[10.1980033,50.025311]]",3,
H2,road::00072,road,0.035279154849004776,222.04687795831987,"[[10.1976799,50.0254023],[10.1977582,50.0254511],[10.19804,50.025619]]",2,
H2,road::00077,road,0.04708607369823766,667.0413370323779,"[[10.19804,50.025619],[10.1982326,50.0257323],[10.1983097,50.0257777],[10.1983699,50.0258131],[10.1985317,50.0259003]]",4,
H2,road::00078,road,0.10790588566744905,6267.254422366742,"[[10.1980842,50.0360962],[10.1978942,50.036013],[10.1978691,50.036002],[10.1977073,50.0359312],[10.1978802,50.0357672],[10.1980596,50.0358513],[10.1982445,50.035938],[10.1980842,50.0360962]]",7,
H2,road::00079,road,0.020296038188346976,6264.598318751179,"[[10.1980842,50.0360962],[10.1983172,50.0362003]]",1,
H2,road::00080,road,0.04716811958039868,111.64118003934865,"[[10.198107,50.0262247],[10.1984402,50.0259719],[10.1984834,50.025939],[10.1985317,50.0259003]]",3,
H2,road::00085,road,0.024567405014440144,6264.0987551654225,"[[10.1983172,50.0362003],[10.1986247,50.036102]]",1,
H2,road::00094,road,0.03457270932068708,889.7518261130735,"[[10.1985317,50.0259003],[10.1987034,50.0259928],[10.1989041,50.0260984]]",2,
H2,road::00098,road,0.032626027762806174,224.71299131981064,"[[10.1986247,50.036102],[10.1990212,50.0359571]]",1,
H2,road::00099,road,0.12621704394405817,6038.781070825118,"[[10.1986247,50.036102],[10.1988414,50.0362753],[10.1989325,50.0363411],[10.1990352,50.036405],[10.199346,50.0365984],[10.1994756,50.036679],[10.1996377,50.0367799],[10.1996609,50.0367943],[10.1998608,50.0369093]]",8,
