interface_id,bus_id,sector,asset_id,nominal_power_mw,power_mw,voltage_pu,speed_pu,energized,feedback_model,confidence_class,notes,calculated_power_mw
IF_0027,TLV017,wastewater,PU011,4.314182344700886e-05,9.006035635355796e-07,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,8.333333333333334e-07
IF_0028,TLV017,wastewater,PU012,3.8162656108172016e-05,8.924456957676293e-07,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,8.333333333333334e-07
IF_0029,TLV017,wastewater,PU013,3.513533002266813e-05,8.874857247091397e-07,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,8.333333333333334e-07
IF_0030,TLV073,wastewater,PU014,5.2627430047209096e-05,5.4807047813893465e-06,1.0399817333445027,1.0199908666722513,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,5.416666666666667e-06
IF_0031,TLV017,wastewater,PU015,3.504359286856177e-05,8.873354225558517e-07,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,8.333333333333334e-07
IF_0032,TLV017,wastewater,PU016,4.2615375618757314e-05,3.3895010314137726e-06,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,3.3333333333333337e-06
IF_0033,TLV017,wastewater,PU017,0.008928825341544013,0.0013600115314395856,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,0.0013495833333333333
IF_0034,TLV017,wastewater,PU018,3.385100986518143e-05,1.3003414945631135e-06,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,1.25e-06
IF_0035,TLV088,wastewater,PU019,0.0014734567727566622,0.00013568999957648453,1.0397936293120202,1.0198968146560101,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,0.00013375
IF_0036,TLV073,wastewater,PU020,3.2921498560237675e-05,8.838585832410937e-07,1.0399817333445027,1.0199908666722513,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,8.333333333333334e-07
IF_0037,TLV066,wastewater,PU021,3.457715406873038e-05,1.7164912092262082e-06,1.0320471292437332,1.0160235646218667,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,1.6666666666666669e-06
IF_0038,TLV083,wastewater,PU022,0.0027688675805999647,0.000644850032644055,1.020654120249367,1.0103270601246837,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,0.0006420833333333334
IF_0039,TLV073,wastewater,PU023,3.402234440951191e-05,1.3006222090805444e-06,1.0399817333445027,1.0199908666722513,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,1.25e-06
IF_0040,TLV017,wastewater,PU024,3.7456701692452e-05,4.7632906005291347e-07,1.0406982210540272,1.0203491105270137,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,4.166666666666667e-07
IF_0041,TLV083,wastewater,PU025,3.201626678305788e-05,5.245545149736205e-08,1.020654120249367,1.0103270601246837,True,SWMM_PUMP4,C/D,SWMM-derived lift design flow and head; pump efficiency=0.65,0.0
IF_0042,TMV045,district_heating,DH_PUMP_GKS,0.5874506893918402,0.8149567894538964,1.0496700723546761,1.024835036177338,True,PANDAPIPES_CIRCULATION_PUMP,C/D,pandapipes solved mass flow and supply-side pressure drop; pump and motor efficiencies are declared priors,0.8154255745024782
