iteration,outaged_line,ext_grid_vm_pu,pump_bus_id,pump_bus_voltage_pu,pump_energized,target_source_reachable,deenergized_bus_count,pump_speed_pu,pump_power_mw,calculated_pump_power_mw,critical_pressure_m,delivered_water_fraction,minimum_energized_bus_voltage_pu,maximum_line_loading_percent,power_residual_mw
1,PL044,,PB046,,False,False,304,0.0,0.0811357279051268,0.0,-60.44741439819336,9.185683920274425e-05,0.9234969489008336,80.51545169321089,0.1217035918576902
2,PL044,,PB046,,False,False,304,0.0,0.03245429116205072,0.0,-60.44741439819336,9.185683920274425e-05,0.9234969489008334,80.51545169321102,0.048681436743076074
3,PL044,,PB046,,False,False,304,0.0,0.01298171646482029,0.0,-60.44741439819336,9.185683920274425e-05,0.9234969489008342,80.51545169320885,0.019472574697230433
4,PL044,,PB046,,False,False,304,0.0,0.005192686585928117,0.0,-60.44741439819336,9.185683920274425e-05,0.9234969489008483,80.51545169320721,0.007789029878892174
5,PL044,,PB046,,False,False,304,0.0,0.002077074634371247,0.0,-60.44741439819336,9.185683920274425e-05,0.923496948900839,80.515451693209,0.00311561195155687
6,PL044,,PB046,,False,False,304,0.0,0.0008308298537484988,0.0,-60.44741439819336,9.185683920274425e-05,0.9234969489008328,80.51545169320707,0.001246244780622748
7,PL044,,PB046,,False,False,304,0.0,0.00033233194149939955,0.0,-60.44741439819336,9.185683920274425e-05,0.9234969489008458,80.51545169320721,0.0004984979122490993
